;H1;H2;H3;H4;H5;H6;H7;H8;H9;H10
Crude_oil;0;0;0;0;0;0;0;0;0;0
Liquid_fuels;0;0;0;0;-0.0316443593697019;-0.123387142290494;-0.162592838248244;-0.191679636323087;-0.247710294506642;-0.292281724949159
Gas_fuels;0;0;0;0;-0.0100682243305754;-0.0428295131723926;-0.122083910976876;-0.172420659463514;-0.277017811629429;-0.370327089037756
Solid_fuels;0;0;0;0;0;0;0;0;0;0
Elec_heating;0;0;0;0;-0.0408128031298743;-0.0859892825805436;-0.126084077497099;-0.122598534096715;-0.172796754821531;-0.305633608359644
Steel_Iron;0;0;0;0;0;0;0;0;0;0
NonFerrousMetals;0;0;0;0;0;0;0;0;0;0
Cement;0;0;0;0;0;0;0;0;0;0
OthMinerals;0;0;0;0;0;0;0;0;0;0
ChemicalPharma;0;0;0;0;0;0;0;0;0;0
Paper;0;0;0;0;0;0;0;0;0;0
Auto_industry;0;0;0;0;-0.0621295988537826;-0.140506104996509;-0.349522333942886;-0.471165750723997;-0.557424500255668;-0.65360561147187
OthEquip;0;0;0;0;-0.0646807400039691;-0.18764651971299;-0.267437615729927;-0.371124928347004;-0.440481323784123;-0.604479739651329
Electronics;0;0;0;0;-0.0646807743828627;-0.187646543461834;-0.267437601643529;-0.37112497755358;-0.440481301527549;-0.604479720578922
Food_industry;0;0;0;0;-0.06539802678486;-0.110306904784014;-0.158072223632527;-0.21092943447028;-0.227299865106001;-0.309757212871747
OthManuf;0;0;0;0;-0.0646807649055868;-0.187646581390503;-0.267437634712998;-0.371124981154171;-0.440481346929669;-0.604479735658511
LandTransp;0;0;0;0;0;-0.0416192525510755;-0.276368348451765;-0.345937557032467;-0.40564159923638;-0.620273955731636
NavalTransp;0;0;0;0;0;0;0;0;0;0
AirTransp;0;0;0;0;0;0;-0.376286903237689;-0.540713992937256;-0.669599244182048;-0.833220671949236
AgriForest_Fish;0;0;0;0;-0.0621050482298272;-0.139820131311141;-0.147284596854076;-0.237652820829184;-0.28641444750779;-0.405391920855484
Construction;0;0;0;0;-0.393914812123183;-0.51151960357992;-0.458065657327109;-0.502046342408147;-0.62965182753155;-0.600362726750747
Property_business;0;0;0;0;0;0;0;0;0;0
Compo;0;0;0;0;0;0;0;0;0;0
