;H1;H2;H3;H4;H5;H6;H7;H8;H9;H10
Crude_oil;0;0;0;0;0;0;0;0;0;0
Liquid_fuels;-0.0680099146114113;-0.0680099146114114;-0.0680099146114113;-0.0680099146114113;-0.0680099146114113;-0.0680099146114113;-0.0680099146114113;-0.0680099146114113;-0.0680099146114113;-0.0680099146114113
Gas_fuels;-0.0650917615325038;-0.0650917615325038;-0.0650917615325038;-0.0650917615325038;-0.0650917615325038;-0.0650917615325037;-0.0650917615325038;-0.0650917615325038;-0.0650917615325038;-0.0650917615325038
Solid_fuels;0;0;0;0;0;0;0;0;0;0
Elec_heating;-0.0521463840412145;-0.0521463840412145;-0.0521463840412145;-0.0521463840412145;-0.0521463840412145;-0.0521463840412145;-0.0521463840412145;-0.0521463840412145;-0.0521463840412145;-0.0521463840412145
Steel_Iron;0;0;0;0;0;0;0;0;0;0
NonFerrousMetals;0;0;0;0;0;0;0;0;0;0
Cement;0;0;0;0;0;0;0;0;0;0
OthMinerals;0;0;0;0;0;0;0;0;0;0
ChemicalPharma;0;0;0;0;0;0;0;0;0;0
Paper;0;0;0;0;0;0;0;0;0;0
Auto_industry;-0.192066847946531;-0.192066847946531;-0.192066847946531;-0.192066847946531;-0.192066847946531;-0.192066847946531;-0.192066847946531;-0.192066847946531;-0.192066847946531;-0.192066847946531
OthEquip;-0.147603577358224;-0.147603577358224;-0.147603577358224;-0.147603577358224;-0.147603577358224;-0.147603577358224;-0.147603577358224;-0.147603577358224;-0.147603577358224;-0.147603577358224
Electronics;-0.147603576697549;-0.147603576697549;-0.147603576697549;-0.147603576697549;-0.147603576697549;-0.147603576697549;-0.147603576697549;-0.147603576697549;-0.147603576697549;-0.147603576697549
Food_industry;-0.0677425167298178;-0.0677425167298178;-0.0677425167298178;-0.0677425167298178;-0.0677425167298177;-0.0677425167298178;-0.0677425167298178;-0.0677425167298178;-0.0677425167298178;-0.0677425167298178
OthManuf;-0.147603587344882;-0.147603587344882;-0.147603587344882;-0.147603587344882;-0.147603587344882;-0.147603587344882;-0.147603587344882;-0.147603587344882;-0.147603587344882;-0.147603587344882
LandTransp;-0.126773681384668;-0.126773681384668;-0.126773681384668;-0.126773681384668;-0.126773681384668;-0.126773681384668;-0.126773681384668;-0.126773681384668;-0.126773681384668;-0.126773681384668
NavalTransp;0;0;0;0;0;0;0;0;0;0
AirTransp;-0.227536489275404;-0.227536489275404;-0.227536489275404;-0.227536489275404;-0.227536489275404;-0.227536489275404;-0.227536489275404;-0.227536489275404;-0.227536489275404;-0.227536489275404
AgriForest_Fish;-0.0848302399005622;-0.0848302399005622;-0.0848302399005622;-0.0848302399005622;-0.0848302399005622;-0.0848302399005622;-0.0848302399005622;-0.0848302399005622;-0.0848302399005622;-0.0848302399005623
Construction;-0.223667482546402;-0.223667482546402;-0.223667482546402;-0.223667482546402;-0.223667482546402;-0.223667482546402;-0.223667482546402;-0.223667482546402;-0.223667482546402;-0.223667482546402
Property_business;0;0;0;0;0;0;0;0;0;0
Compo;0;0;0;0;0;0;0;0;0;0
