;H1;H2;H3;H4;H5;H6;H7;H8;H9;H10
Crude_oil;0;0;0;0;0;0;0;0;0;0
Liquid_fuels;-0.128018662797951;-0.128018662797951;-0.128018662797951;-0.128018662797951;-0.128018662797951;-0.128018662797951;-0.128018662797951;-0.128018662797951;-0.128018662797951;-0.128018662797951
Gas_fuels;-0.122525668767066;-0.122525668767066;-0.122525668767066;-0.122525668767066;-0.122525668767066;-0.122525668767066;-0.122525668767066;-0.122525668767066;-0.122525668767066;-0.122525668767066
Solid_fuels;0;0;0;0;0;0;0;0;0;0
Elec_heating;-0.0981578993716979;-0.0981578993716979;-0.0981578993716979;-0.0981578993716979;-0.0981578993716979;-0.0981578993716979;-0.0981578993716979;-0.0981578993716979;-0.0981578993716979;-0.0981578993716978
Steel_Iron;0;0;0;0;0;0;0;0;0;0
NonFerrousMetals;0;0;0;0;0;0;0;0;0;0
Cement;0;0;0;0;0;0;0;0;0;0
OthMinerals;0;0;0;0;0;0;0;0;0;0
ChemicalPharma;0;0;0;0;0;0;0;0;0;0
Paper;0;0;0;0;0;0;0;0;0;0
Auto_industry;-0.361537596134647;-0.361537596134647;-0.361537596134647;-0.361537596134647;-0.361537596134647;-0.361537596134647;-0.361537596134647;-0.361537596134647;-0.361537596134647;-0.361537596134647
OthEquip;-0.277842027968422;-0.277842027968422;-0.277842027968422;-0.277842027968422;-0.277842027968422;-0.277842027968422;-0.277842027968422;-0.277842027968422;-0.277842027968422;-0.277842027968422
Electronics;-0.277842026724798;-0.277842026724798;-0.277842026724798;-0.277842026724798;-0.277842026724798;-0.277842026724798;-0.277842026724798;-0.277842026724798;-0.277842026724798;-0.277842026724798
Food_industry;-0.127515325609069;-0.127515325609069;-0.127515325609069;-0.127515325609069;-0.127515325609069;-0.127515325609069;-0.127515325609069;-0.127515325609069;-0.127515325609069;-0.127515325609069
OthManuf;-0.277842046766837;-0.277842046766837;-0.277842046766837;-0.277842046766837;-0.277842046766837;-0.277842046766837;-0.277842046766837;-0.277842046766837;-0.277842046766837;-0.277842046766837
LandTransp;-0.238632812018198;-0.238632812018198;-0.238632812018198;-0.238632812018198;-0.238632812018198;-0.238632812018198;-0.238632812018198;-0.238632812018198;-0.238632812018198;-0.238632812018198
NavalTransp;0;0;0;0;0;0;0;0;0;0
AirTransp;-0.428303979812526;-0.428303979812526;-0.428303979812526;-0.428303979812526;-0.428303979812526;-0.428303979812526;-0.428303979812526;-0.428303979812526;-0.428303979812526;-0.428303979812526
AgriForest_Fish;-0.159680451577529;-0.159680451577529;-0.159680451577529;-0.159680451577529;-0.159680451577529;-0.159680451577529;-0.159680451577529;-0.159680451577529;-0.159680451577529;-0.159680451577529
Construction;-0.421021143616757;-0.421021143616757;-0.421021143616757;-0.421021143616757;-0.421021143616757;-0.421021143616757;-0.421021143616757;-0.421021143616757;-0.421021143616757;-0.421021143616757
Property_business;0;0;0;0;0;0;0;0;0;0
Compo;0;0;0;0;0;0;0;0;0;0
