;H1;H2;H3;H4;H5;H6;H7;H8;H9;H10
Crude_oil;0;0;0;0;0;0;0;0;0;0
Liquid_fuels;-0.0480069985492315;-0.0480069985492316;-0.0480069985492315;-0.0480069985492315;-0.0480069985492315;-0.0480069985492315;-0.0480069985492315;-0.0480069985492315;-0.0480069985492315;-0.0480069985492315
Gas_fuels;-0.0459471257876497;-0.0459471257876497;-0.0459471257876497;-0.0459471257876497;-0.0459471257876497;-0.0459471257876497;-0.0459471257876497;-0.0459471257876497;-0.0459471257876497;-0.0459471257876498
Solid_fuels;0;0;0;0;0;0;0;0;0;0
Elec_heating;-0.0368092122643867;-0.0368092122643867;-0.0368092122643867;-0.0368092122643867;-0.0368092122643867;-0.0368092122643867;-0.0368092122643867;-0.0368092122643867;-0.0368092122643867;-0.0368092122643867
Steel_Iron;0;0;0;0;0;0;0;0;0;0
NonFerrousMetals;0;0;0;0;0;0;0;0;0;0
Cement;0;0;0;0;0;0;0;0;0;0
OthMinerals;0;0;0;0;0;0;0;0;0;0
ChemicalPharma;0;0;0;0;0;0;0;0;0;0
Paper;0;0;0;0;0;0;0;0;0;0
Auto_industry;-0.135576598550493;-0.135576598550493;-0.135576598550493;-0.135576598550493;-0.135576598550493;-0.135576598550493;-0.135576598550493;-0.135576598550493;-0.135576598550493;-0.135576598550493
OthEquip;-0.104190760488158;-0.104190760488158;-0.104190760488158;-0.104190760488158;-0.104190760488158;-0.104190760488158;-0.104190760488158;-0.104190760488158;-0.104190760488158;-0.104190760488158
Electronics;-0.104190760021799;-0.104190760021799;-0.104190760021799;-0.104190760021799;-0.104190760021799;-0.104190760021799;-0.104190760021799;-0.104190760021799;-0.104190760021799;-0.104190760021799
Food_industry;-0.0478182471034008;-0.0478182471034008;-0.0478182471034008;-0.0478182471034008;-0.0478182471034007;-0.0478182471034008;-0.0478182471034008;-0.0478182471034008;-0.0478182471034008;-0.0478182471034008
OthManuf;-0.104190767537564;-0.104190767537564;-0.104190767537564;-0.104190767537564;-0.104190767537564;-0.104190767537564;-0.104190767537564;-0.104190767537564;-0.104190767537564;-0.104190767537564
LandTransp;-0.0894873045068242;-0.0894873045068242;-0.0894873045068242;-0.0894873045068242;-0.0894873045068242;-0.0894873045068242;-0.0894873045068242;-0.0894873045068242;-0.0894873045068242;-0.0894873045068242
NavalTransp;0;0;0;0;0;0;0;0;0;0
AirTransp;-0.160613992429697;-0.160613992429697;-0.160613992429697;-0.160613992429697;-0.160613992429697;-0.160613992429697;-0.160613992429697;-0.160613992429697;-0.160613992429697;-0.160613992429697
AgriForest_Fish;-0.0598801693415733;-0.0598801693415733;-0.0598801693415733;-0.0598801693415733;-0.0598801693415733;-0.0598801693415733;-0.0598801693415733;-0.0598801693415733;-0.0598801693415733;-0.0598801693415734
Construction;-0.157882928856284;-0.157882928856284;-0.157882928856284;-0.157882928856284;-0.157882928856284;-0.157882928856284;-0.157882928856284;-0.157882928856284;-0.157882928856284;-0.157882928856284
Property_business;0;0;0;0;0;0;0;0;0;0
Compo;0;0;0;0;0;0;0;0;0;0
