;H1;H2;H3;H4;H5;H6;H7;H8;H9;H10
Crude_oil;0;0;0;0;0;0;0;0;0;0
Liquid_fuels;0;0;0;0;-0.0217554970666701;-0.0848286603247144;-0.111782576295668;-0.131779749972122;-0.170300827473316;-0.200943685902547
Gas_fuels;0;0;0;0;-0.0069219042272706;-0.0294452903060199;-0.0839326887966021;-0.118539203381166;-0.190449745495232;-0.254599873713457
Solid_fuels;0;0;0;0;0;0;0;0;0;0
Elec_heating;0;0;0;0;-0.0280588021517886;-0.0591176317741237;-0.0866828032792559;-0.0842864921914916;-0.118797768939802;-0.210123105747255
Steel_Iron;0;0;0;0;0;0;0;0;0;0
NonFerrousMetals;0;0;0;0;0;0;0;0;0;0
Cement;0;0;0;0;0;0;0;0;0;0
OthMinerals;0;0;0;0;0;0;0;0;0;0
ChemicalPharma;0;0;0;0;0;0;0;0;0;0
Paper;0;0;0;0;0;0;0;0;0;0
Auto_industry;0;0;0;0;-0.0427140992119755;-0.0965979471850997;-0.240296604585734;-0.323926453622748;-0.383229343925772;-0.449353857886911
OthEquip;0;0;0;0;-0.0444680087527287;-0.12900698230268;-0.183863360814325;-0.255148388238565;-0.302830910101585;-0.415579821010289
Electronics;0;0;0;0;-0.0444680323882181;-0.129006998630011;-0.183863351129926;-0.255148422068086;-0.30283089480019;-0.415579807898009
Food_industry;0;0;0;0;-0.0449611434145912;-0.0758359970390095;-0.108674653747363;-0.145013986198318;-0.156268657260376;-0.212958083849326
OthManuf;0;0;0;0;-0.0444680258725909;-0.129007024705971;-0.183863373865186;-0.255148424543493;-0.302830926014148;-0.415579818265226
LandTransp;0;0;0;0;0;-0.0286132361288644;-0.190003239560589;-0.237832070459821;-0.278878599475011;-0.426438344565499
NavalTransp;0;0;0;0;0;0;0;0;0;0
AirTransp;0;0;0;0;0;0;-0.258697245975911;-0.371740870144363;-0.460349480375158;-0.5728392119651
AgriForest_Fish;0;0;0;0;-0.0426972206580062;-0.0961263402764096;-0.101258160337177;-0.163386314320064;-0.196909932661606;-0.278706945588145
Construction;0;0;0;0;-0.270816433334688;-0.351669727461195;-0.314920139412388;-0.345156860405601;-0.43288563142794;-0.412749374641139
Property_business;0;0;0;0;0;0;0;0;0;0
Compo;0;0;0;0;0;0;0;0;0;0
