;H1;H2;H3;H4;H5;H6;H7;H8;H9;H10
Crude_oil;0;0;0;0;0;0;0;0;0;0
Liquid_fuels;0;0;0;0;-0.0118666347636382;-0.0462701783589352;-0.0609723143430914;-0.0718798636211576;-0.0928913604399906;-0.109605646855935
Gas_fuels;0;0;0;0;-0.00377558412396578;-0.0160610674396472;-0.0457814666163284;-0.0646577472988176;-0.103881679361036;-0.138872658389159
Solid_fuels;0;0;0;0;0;0;0;0;0;0
Elec_heating;0;0;0;0;-0.0153048011737029;-0.0322459809677039;-0.0472815290614123;-0.0459744502862681;-0.064798783058074;-0.114612603134866
Steel_Iron;0;0;0;0;0;0;0;0;0;0
NonFerrousMetals;0;0;0;0;0;0;0;0;0;0
Cement;0;0;0;0;0;0;0;0;0;0
OthMinerals;0;0;0;0;0;0;0;0;0;0
ChemicalPharma;0;0;0;0;0;0;0;0;0;0
Paper;0;0;0;0;0;0;0;0;0;0
Auto_industry;0;0;0;0;-0.0232985995701685;-0.0526897893736907;-0.131070875228582;-0.176687156521499;-0.209034187595875;-0.245102104301951
OthEquip;0;0;0;0;-0.0242552775014884;-0.0703674448923711;-0.100289105898723;-0.139171848130127;-0.165180496419046;-0.226679902369248
Electronics;0;0;0;0;-0.0242552903935735;-0.0703674537981877;-0.100289100616323;-0.139171866582592;-0.165180488072831;-0.226679895217096
Food_industry;0;0;0;0;-0.0245242600443225;-0.0413650892940052;-0.0592770838621978;-0.079098537926355;-0.0852374494147505;-0.116158954826905
OthManuf;0;0;0;0;-0.0242552868395951;-0.0703674680214386;-0.100289113017374;-0.139171867932814;-0.165180505098626;-0.226679900871942
LandTransp;0;0;0;0;0;-0.0156072197066533;-0.103638130669412;-0.129726583887175;-0.152115599713643;-0.232602733399363
NavalTransp;0;0;0;0;0;0;0;0;0;0
AirTransp;0;0;0;0;0;0;-0.141107588714133;-0.202767747351471;-0.251099716568268;-0.312457751980963
AgriForest_Fish;0;0;0;0;-0.0232893930861852;-0.052432549241678;-0.0552317238202786;-0.0891198078109442;-0.107405417815421;-0.152021970320806
Construction;0;0;0;0;-0.147718054546194;-0.19181985134247;-0.171774621497666;-0.188267378403055;-0.236119435324331;-0.22513602253153
Property_business;0;0;0;0;0;0;0;0;0;0
Compo;0;0;0;0;0;0;0;0;0;0
