sector;2030;2040;2050
Crude_oil;0.00575138705675826;0.00117776396653735;-0.00693534866819689
Liquid_fuels;0;0;0
Gas_fuels;0.00635210834367239;-0.0245214630568621;-0.0270101732969898
Solid_fuels;0;0;0
Elec_heating;0;0;0
Steel_Iron;0;0;0
NonFerrousMetals;0;0;0
Cement;0;0;0
OthMin;0;0;0
ChemicalPharma;0;0;0
Paper;0;0;0
Auto_industry;0;0;0
OthEquip;0;0;0
Electronics;0;0;0
Food_industry;0;0;0
OthManuf;0;0;0
LandTransp;0;0;0
NavalTransp;0;0;0
AirTransp;0;0;0
AgriForest_Fish;0;0;0
Construction;0;0;0
Property_business;0;0;0
Compo;0;0;0
